street_code,name_es,name_eu,lon,lat,units,vut,hut,beds
1670,"Euskal Herria, Calle de",Euskal Herria Kalea,-1.982494,43.324082,14,13,1,53
2410,"José Miguel Barandiaran, Paseo de",José Migel Barandiaran Pasealekua,-1.971137,43.327662,14,14,0,44
2990,"Matía, Calle de",Matia Kalea,-2.002539,43.313652,14,14,0,54
3230,"Moraza, Calle de",Moraza Kalea,-1.98113,43.314439,14,14,0,47
4360,"Sancho el Sabio, Avenida de",Antso Jakitunaren Hiribidea,-1.979982,43.309636,14,12,2,61
4450,"Secundino Esnaola, Calle de",Secundino Esnaola Kalea,-1.972673,43.323838,14,14,0,54
740,"Bermingham, Calle de",Bermingham Kalea,-1.972477,43.324514,14,12,2,58
1280,"Txurruka, Calle de",Txurruka Kalea,-1.98219,43.320403,13,13,0,51
140,"Aldamar, Calle de",Aldamar Kalea,-1.982448,43.323594,13,11,2,53
1730,"Fermin Calbeton, Calle de",Fermín Calbetón Kalea,-1.985637,43.322976,13,8,5,39
2660,"Libertad, Avenida de la",Askatasunaren Hiribidea,-1.981686,43.319684,13,13,0,49
2890,"Marina, Calle de la",Marina Kalea,-1.986206,43.315957,13,12,1,47
3000,"Mayor, Calle",Kale Nagusia,-1.986171,43.323159,12,12,0,61
4100,"Fuente de la Salud, Calle de la",Osasuniturri Kalea,-1.982749,43.313559,12,12,0,36
4690,"Treinta y Uno de Agosto, Calle del",Abuztuaren 31 Kalea,-1.985601,43.324113,12,10,2,51
5230,"Zurriola, Avenida de",Zurriola Hiribidea,-1.976124,43.324971,12,12,0,63
2030,"Hernani, Calle de",Hernani Kalea,-1.984136,43.320341,11,11,0,61
2270,"Isabel II, Avenida de",Isabel Ii.Aren Hiribidea,-1.976993,43.303938,11,8,3,40
3320,"Navarra, Avenida de",Nafarroa Hiribidea,-1.96877,43.324301,11,10,1,52
4220,"San Jeronimo, Calle de",San Jeronimo Kalea,-1.985433,43.323305,11,8,3,45
5100,"Zarautz, Calle de",Zarautz Kalea,-2.004969,43.306927,11,11,0,39
1770,"Hondarribia, Calle de",Hondarribia Kalea,-1.981114,43.317371,10,9,1,45
1900,"General Etxague, Calle del",Etxague Jeneralaren Kalea,-1.982169,43.323557,10,10,0,36
2020,"Heriz, Paseo de",Heriz Pasealekua,-2.001538,43.310815,10,9,1,38
1720,"Felipe Iv, Avenida de",Felipe Iv.Aren Hiribidea,-1.975943,43.305847,9,9,0,26
1910,"General Jauregi, Calle del",Jauregi Jeneralaren Kalea,-1.982894,43.324601,9,9,0,43
1970,"Getaria, Calle de",Getaria Kalea,-1.980798,43.31841,9,9,0,45
280,"Amara, Calle de",Amara Kalea,-1.984141,43.313794,9,9,0,32
1260,"Loiola, Calle de",Loiola Kalea,-1.982748,43.318385,8,8,0,22
1930,"Gloria, Calle de la",Gloria Kalea,-1.972709,43.322425,8,8,0,28
3510,"Okendo, Calle de",Okendo Kalea,-1.981056,43.321609,8,8,0,39
3580,"Padre Larroca, Calle del",Aita Larroca Kalea,-1.974062,43.322804,8,6,2,34
