provincia,tipologia,year,infracciones,source
Gipuzkoa,1.4.-Otros contra las personas,2021,164,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.4.-Otros contra las personas,2022,170,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.4.-Otros contra las personas,2023,201,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,1.4.-Otros contra las personas,2024,226,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2. CONTRA LA LIBERTAD,2010,1210,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2. CONTRA LA LIBERTAD,2011,1373,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2. CONTRA LA LIBERTAD,2012,1282,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2. CONTRA LA LIBERTAD,2013,1323,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2. CONTRA LA LIBERTAD,2014,1376,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2. CONTRA LA LIBERTAD,2015,1798,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2. CONTRA LA LIBERTAD,2016,2021,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2. CONTRA LA LIBERTAD,2017,2087,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2. CONTRA LA LIBERTAD,2018,2134,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2. CONTRA LA LIBERTAD,2019,2228,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2. CONTRA LA LIBERTAD,2020,2152,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2. CONTRA LA LIBERTAD,2021,2204,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2. CONTRA LA LIBERTAD,2022,2146,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2. CONTRA LA LIBERTAD,2023,2758,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2. CONTRA LA LIBERTAD,2024,2940,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.1.-Malos tratos habituales en el ámbito familiar,2010,771,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.1.-Malos tratos habituales en el ámbito familiar,2011,950,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.1.-Malos tratos habituales en el ámbito familiar,2012,941,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.1.-Malos tratos habituales en el ámbito familiar,2013,897,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.1.-Malos tratos habituales en el ámbito familiar,2014,985,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.1.-Malos tratos habituales en el ámbito familiar,2015,941,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.1.-Malos tratos habituales en el ámbito familiar,2016,827,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.1.-Malos tratos habituales en el ámbito familiar,2017,789,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.1.-Malos tratos habituales en el ámbito familiar,2018,792,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.1.-Malos tratos habituales en el ámbito familiar,2019,810,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.1.-Malos tratos habituales en el ámbito familiar,2020,762,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.1.-Malos tratos habituales en el ámbito familiar,2021,655,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.1.-Malos tratos habituales en el ámbito familiar,2022,584,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.1.-Malos tratos habituales en el ámbito familiar,2023,604,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.1.-Malos tratos habituales en el ámbito familiar,2024,622,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.2.-Otros contra la libertad,2010,439,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.2.-Otros contra la libertad,2011,423,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.2.-Otros contra la libertad,2012,341,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.2.-Otros contra la libertad,2013,426,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.2.-Otros contra la libertad,2014,391,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.2.-Otros contra la libertad,2015,857,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.2.-Otros contra la libertad,2016,1194,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.2.-Otros contra la libertad,2017,1298,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.2.-Otros contra la libertad,2018,1342,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
Gipuzkoa,2.2.-Otros contra la libertad,2019,1418,"Portal Estadístico de Criminalidad, Ministerio del Interior — infracciones penales conocidas por provincia y tipología penal, Gipuzkoa 2010–2024; snapshot jul-2026"
